name,mask,constraint,result
Absolute_Path,True,"The absolute path shall start with the root directory ""/"".","(= (str.at s 0) ""/"")"
Absolute_Path,True,The absolute path shall not contain any spaces.,"(not (str.contains s "" ""))"
Absolute_Path,True,"The absolute path shall not end with ""/"".","(not (= (str.at s (- (str.len s) 1)) ""/""))"
Absolute_Path,True,"The absolute path shall not contain consecutive ""/"" characters.","(not (str.contains s ""//""))"
Absolute_Path,False,"The absolute path shall not start with the root directory ""/"".","(not (= (str.at s 0) ""/""))"
Absolute_Path,False,The absolute path shall contain at least one space.,"(str.contains s "" "")"
Absolute_Path,False,"The absolute path shall end with ""/"".","(= (str.at s (- (str.len s) 1)) ""/"")"
Absolute_Path,False,"The absolute path shall contain consecutive ""/"" characters.","(str.contains s ""//"")"
Date,True,The date shall contain two hyphens.,"(= (str.indexof s ""-"" (str.indexof s ""-"" (+ (str.indexof s ""-"" 0) 1))) -1)"
Date,True,"If there is at least one hyphen, the part before the hyphen shall be a number between 0 and 2025.","(let ((first-hyphen (str.indexof s ""-"" 0))) (=> (not (= first-hyphen -1)) (let ((before-first-hyphen (str.substr s 0 first-hyphen))) (and (>= (str.to.int before-first-hyphen) 0) (<= (str.to.int before-first-hyphen) 2025))))))"
Date,True,"If there are at least two hyphens, the part after the first hyphen but before the second hyphen shall be a number between 1 and 12.","(let ((first-hyphen (str.indexof s ""-"" 0)) (second-hyphen (str.indexof s ""-"" (+ (str.indexof s ""-"" 0) 1)))) (=> (not (= second-hyphen -1)) (let ((between-hyphens (str.substr s (+ first-hyphen 1) (- second-hyphen first-hyphen 1)))) (and (>= (str.to.int between-hyphens) 1) (<= (str.to.int between-hyphens) 12))))))"
Date,True,"If there are at least two hyphen, The part after the second hyphen shall be a number between 1 and 31.","(let ((second-hyphen (str.indexof s ""-"" (+ (str.indexof s ""-"" 0) 1)))) (=> (not (= second-hyphen -1)) (let ((after-second-hyphen (str.substr s (+ second-hyphen 1) (- (str.len s) second-hyphen 1)))) (and (>= (str.to.int after-second-hyphen) 1) (<= (str.to.int after-second-hyphen) 31))))))"
Date,False,"The date shall contain either no hyphens, one hyphen or more than two hyphens.","(or (= (str.count s ""-"") 0) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))"
