name,mask,constraint,result
Absolute_Path,True,"The absolute path shall start with the root directory ""/"".",
Absolute_Path,True,The absolute path shall not contain any spaces.,
Absolute_Path,True,"The absolute path shall not end with ""/"".",
Absolute_Path,True,"The absolute path shall not contain consecutive ""/"" characters.",
Absolute_Path,False,"The absolute path shall not start with the root directory ""/"".",
Absolute_Path,False,The absolute path shall contain at least one space.,
Absolute_Path,False,"The absolute path shall end with ""/"".",
Absolute_Path,False,"The absolute path shall contain consecutive ""/"" characters.",
Date,True,The date shall contain two hyphens.,
Date,True,"If there is at least one hyphen, the part before the hyphen shall be a number between 0 and 2025.",
Date,True,"If there are at least two hyphens, the part after the first hyphen but before the second hyphen shall be a number between 1 and 12.",
Date,True,"If there are at least two hyphen, The part after the second hyphen shall be a number between 1 and 31.",
Date,False,"The date shall contain either no hyphens, one hyphen or more than two hyphens.",
Date,False,There must be at least one hyphen and the part before the hyphen shall not be a number between 0 and 2025.,
Date,False,There must be at least two hyphens and the part after the first hyphen but before the second hyphen shall not be a number between 1 and 12.,
Date,False,There must be at least two hyphens an d the part after the second hyphen shall not be a number between 1 and 31.,
DNA,True,"The DNA sequence shall only contain letters A, T, C and G.",
DNA,True,The length of The DNA sequence shall be at least 10.,
DNA,True,The length of The DNA sequence shall be a multiple of three.,
DNA,True,The DNA sequence shall start with ATG.,
DNA,True,"The DNA sequence shall end with either TAA, or TAG, or TGA.",
DNA,False,"The DNA sequence shall contain at least one letter that is neither A, nor T, nor C, nor G.",
DNA,False,The length of the DNA sequence shall be at most 9.,
DNA,False,The length of the DNA sequence shall not a multiple of three.,
DNA,False,The DNA sequence shall not start with ATG.,
DNA,False,"The DNA sequence shall not end with TAA, nor with TAG, nor with TGA.",
Email,True,The email shall not contain a space character.,
Email,True,The email shall not start with a @ character.,
Email,True,The email shall have exactly one @ character.,
Email,True,The email shall include a dot character (.) after the @ character but before the end.,
Email,True,The final character of the email shall not be a dot character (.).,
Email,True,"The email shall not contain the word ""manager"".",
Email,False,The email shall contain a space character.,
Email,False,The email shall start with a @ character.,
Email,False,The email shall have either no @ characters or more than one @ character.,
Email,False,If the email contains a @ character and there shall not include any dot characters (.) after the @ character and before the end.,
Email,False,The final character of the email shall be a dot character (.).,
Email,False,"The email shall contain the word ""manager"".",
Expression,True,"The arithmetic expression shall only contain numbers (0-9) and arithmetic operators (+, -, *, /).",
Expression,True,"The arithmetic operators (+, -, *, /) in the arithmetic expression shall not appear consecutively.",
Expression,True,"Except for the minus sign (-), every operator (+, *, /) in the arithmetic expression shall have a number before and after it.",
Expression,True,"The arithmetic expression shall not start with operators from the set {+, *, /}.",
Expression,False,"The arithmetic expression shall contain at least one character that is neither a number (0-9), nor an arithmetic operator (+, -, *, /).",
Expression,False,"The arithmetic expression shall contain consecutive arithmetic operators (+, -, *, /).",
Expression,False,"The arithmetic expression shall contain an operator from the set {+, *, /} that either does not have a number immediately before it or does not have a number immediately after it.",
Expression,False,"The arithmetic expression shall start with one of the operators in the set {+, *, /}.",
IBAN,True,The length of the bank number shall be 22.,
IBAN,True,The bank number shall start with 1210.,
IBAN,True,"The bank number shall have at least 6 characters, and the fifth and sixth characters shall both be 0.",
IBAN,False,The length of the bank account shall not be 22.,
IBAN,False,The bank number shall not start with 1210.,
IBAN,False,"The bank number shall either have less than 6 characters, or either the fifth or sixth character shall not be 0.
",
ISBN,True,"The ISBN shall only contain numbers (0-9), the letter X, or hyphens.",
