constraint0,constraint1,constraint2,constraint3,level,step
"(str.in.re s (re.+ (re.union (str.to.re ""[a-zA-Z]"") (str.to.re "" ""))))","(str.contains s "" "")","(not (str.contains s "" ""))","(not (= (str.at s 0) "" ""))",0,0
"(forall ((c String)) (=> (str.contains s c) (or (and (str.in.re c (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z""))) (not (str.contains c "" ""))) (str.contains c "" ""))))","(str.contains s "" "")","(not (str.endsWith s "" ""))","(not (str.startsWith s "" ""))",0,1
"(forall ((c String)) (=> (str.contains s c) (or (and (str.in.re c re.lower) (str.length c 1)) (and (str.in.re c re.upper) (str.length c 1)) (and (str.equals c "" "")))))","(exists ((i Int)) (and (>= i 0) (str.length s i) (str.contains s "" ""))) ","(not (= (str.at s (- (str.length s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",0,2
"(and (forall ((c String)) (=> (str.contains s c) (or (and (str.isDigit c) (>= (str.toInt c) 0) (<= (str.toInt c) 9)) (or (and (str.ge c ""a"") (str.le c ""z"")) (and (str.ge c ""A"") (str.le c ""Z"")) (str.eq c "" ""))))))","(str.contains s "" "")","(not (str.endsWith s "" ""))","(not (str.startsWith s "" ""))",0,3
"(str.in.re s (re.+ (re.union (str.to.re ""[a-zA-Z]"") (str.to.re "" ""))))","(str.contains s "" "")","(not (str.endsWith s "" ""))","(not (str.startsWith s "" ""))",0,4
"(str.in.re s (re.+ (str.to.re ""[a-zA-Z ]"")))","(str.contains s "" "")","(not (str.endsWith s "" ""))","(not (str.startsWith s "" ""))",0,5
"(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,6
"(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,7
"(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,8
"(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,9
"(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,10
"(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,11
"(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,12
"(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,13
"(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,14
"(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,15
"(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,16
"(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,17
"(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,18
"(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,19
