name,result,truth_masks
Name,A B C D,"(True, True, True, True, True, True)"
Name,A big,"(True, True, True, True, True, False)"
Name,a B C d,"(True, True, True, True, False, True)"
Name,hello world test,"(True, True, True, True, False, False)"
Name, Hello World,"(True, True, True, False, True, True)"
Name, A b,"(True, True, True, False, True, False)"
Name, hello World,"(True, True, True, False, False, True)"
Name, hello,"(True, True, True, False, False, False)"
Name,Hello World ,"(True, True, False, True, True, True)"
Name,A b ,"(True, True, False, True, True, False)"
Name,hello World ,"(True, True, False, True, False, True)"
Name,hello world ,"(True, True, False, True, False, False)"
Name, H World ,"(True, True, False, False, True, True)"
Name, A b ,"(True, True, False, False, True, False)"
Name, a B C ,"(True, True, False, False, False, True)"
Name, hello ,"(True, True, False, False, False, False)"
Name,JohnDoe,"(True, False, True, True, True, True)"
Name,UNSAT,"(True, False, True, True, True, False)"
Name,UNSAT,"(True, False, True, True, False, True)"
Name,UNSAT,"(True, False, True, True, False, False)"
Name,UNSAT,"(True, False, True, False, True, True)"
Name,UNSAT,"(True, False, True, False, True, False)"
Name,UNSAT,"(True, False, True, False, False, True)"
Name,UNSAT,"(True, False, True, False, False, False)"
Name,UNSAT,"(True, False, False, True, True, True)"
Name,UNSAT,"(True, False, False, True, True, False)"
Name,UNSAT,"(True, False, False, True, False, True)"
Name,UNSAT,"(True, False, False, True, False, False)"
Name,UNSAT,"(True, False, False, False, True, True)"
Name,UNSAT,"(True, False, False, False, True, False)"
Name,UNSAT,"(True, False, False, False, False, True)"
Name,UNSAT,"(True, False, False, False, False, False)"
Name,UNSAT,"(False, True, True, True, True, True)"
Name,A# 1,"(False, True, True, True, True, False)"
Name,1 A2,"(False, True, True, True, False, True)"
Name,1. sample text,"(False, True, True, True, False, False)"
Name,UNSAT,"(False, True, True, False, True, True)"
Name,UNSAT,"(False, True, True, False, True, False)"
Name,UNSAT,"(False, True, True, False, False, True)"
Name, !2,"(False, True, True, False, False, False)"
Name,UNSAT,"(False, True, False, True, True, True)"
Name,UNSAT,"(False, True, False, True, True, False)"
Name,1 A B C D E ,"(False, True, False, True, False, True)"
Name,1 ! ,"(False, True, False, True, False, False)"
Name,UNSAT,"(False, True, False, False, True, True)"
Name,UNSAT,"(False, True, False, False, True, False)"
Name,UNSAT,"(False, True, False, False, False, True)"
Name, 1! ,"(False, True, False, False, False, False)"
Name,UNSAT,"(False, False, True, True, True, True)"
Name,UNSAT,"(False, False, True, True, True, False)"
Name,12345,"(False, False, True, True, False, True)"
Name,UNSAT,"(False, False, True, True, False, False)"
Name,UNSAT,"(False, False, True, False, True, True)"
Name,UNSAT,"(False, False, True, False, True, False)"
Name,UNSAT,"(False, False, True, False, False, True)"
Name,UNSAT,"(False, False, True, False, False, False)"
Name,UNSAT,"(False, False, False, True, True, True)"
Name,UNSAT,"(False, False, False, True, True, False)"
Name,UNSAT,"(False, False, False, True, False, True)"
Name,UNSAT,"(False, False, False, True, False, False)"
Name,UNSAT,"(False, False, False, False, True, True)"
Name,UNSAT,"(False, False, False, False, True, False)"
Name,UNSAT,"(False, False, False, False, False, True)"
Name,UNSAT,"(False, False, False, False, False, False)"
Email,user@example.com,"(True, True, True, True, True, True)"
Email,manager@example.com,"(True, True, True, True, True, False)"
Email,testuser@example.com.,"(True, True, True, True, False, True)"
Email,manager@example.com.,"(True, True, True, True, False, False)"
Email,user@example,"(True, True, True, False, True, True)"
Email,manager@company,"(True, True, True, False, True, False)"
Email,user@example.com.,"(True, True, True, False, False, True)"
Email,team.manager@company.,"(True, True, True, False, False, False)"
Email,user@example.com@another.com,"(True, True, False, True, True, True)"
Email,manager@domain.com@another.com,"(True, True, False, True, True, False)"
Email,test@domain.com@.,"(True, True, False, True, False, True)"
Email,manager@company.com@another.manager.,"(True, True, False, True, False, False)"
Email,user@example@domain,"(True, True, False, False, True, True)"
Email,manager@extra@domain,"(True, True, False, False, True, False)"
Email,example.,"(True, True, False, False, False, True)"
Email,projectmanager..,"(True, True, False, False, False, False)"
Email,@user.name,"(True, False, True, True, True, True)"
Email,@manager.example,"(True, False, True, True, True, False)"
Email,@example.,"(True, False, True, True, False, True)"
Email,@manager.domain.,"(True, False, True, True, False, False)"
Email,@user123,"(True, False, True, False, True, True)"
Email,@manager123,"(True, False, True, False, True, False)"
Email,@username.,"(True, False, True, False, False, True)"
Email,@manager.,"(True, False, True, False, False, False)"
Email,@domain.com@user,"(True, False, False, True, True, True)"
Email,@manager@domain.com,"(True, False, False, True, True, False)"
Email,@example.com.,"(True, False, False, True, False, True)"
Email,@.manager@.,"(True, False, False, True, False, False)"
Email,@user@account,"(True, False, False, False, True, True)"
Email,@@managermanager,"(True, False, False, False, True, False)"
Email,@user@@example@.,"(True, False, False, False, False, True)"
Email,@someone_manager@another_example.,"(True, False, False, False, False, False)"
Email,John Doe @example.com,"(False, True, True, True, True, True)"
Email,project manager@example.com,"(False, True, True, True, True, False)"
Email,user name@example.com.,"(False, True, True, True, False, True)"
Email,project manager@domain.com.,"(False, True, True, True, False, False)"
Email,Hello @world,"(False, True, True, False, True, True)"
Email,John Doe manager @example,"(False, True, True, False, True, False)"
Email,test user@example.,"(False, True, True, False, False, True)"
Email,manager @example.,"(False, True, True, False, False, False)"
Email,hello world @example.com @test.com,"(False, True, False, True, True, True)"
Email,Project manager John Doe,"(False, True, False, True, True, False)"
Email,Hello @example.com @test.,"(False, True, False, True, False, True)"
Email,project manager @example.com @example.org.,"(False, True, False, True, False, False)"
Email,Hello @ World @ Test,"(False, True, False, False, True, True)"
Email,Project manager @example @anotherExample,"(False, True, False, False, True, False)"
Email,test value.,"(False, True, False, False, False, True)"
Email,project manager @ team @ department.,"(False, True, False, False, False, False)"
Email,@example.com Test,"(False, False, True, True, True, True)"
Email,@example manager.,"(False, False, True, True, True, False)"
Email,@.example text .,"(False, False, True, True, False, True)"
Email,@.manager something.,"(False, False, True, True, False, False)"
Email,@user example,"(False, False, True, False, True, True)"
Email,@manager is the project manager,"(False, False, True, False, True, False)"
Email,@ user test.,"(False, False, True, False, False, True)"
Email,@manager This is a manager.,"(False, False, True, False, False, False)"
Email,@@example.com some text,"(False, False, False, True, True, True)"
Email,@ manager.@1,"(False, False, False, True, True, False)"
Email,@ .@.,"(False, False, False, True, False, True)"
Email,@. project manager @. end.,"(False, False, False, True, False, False)"
Email,@user name info,"(False, False, False, False, True, True)"
Email,@manager @test string,"(False, False, False, False, True, False)"
Email,@ example @ text.,"(False, False, False, False, False, True)"
Email,@manager @another.manager.,"(False, False, False, False, False, False)"
Password,A1#b,"(True, True, True, True, True)"
Password,Abc$,"(True, True, True, True, False)"
Password,A1$B,"(True, True, True, False, True)"
Password,A!B$,"(True, True, True, False, False)"
Password,a1$e,"(True, True, False, True, True)"
Password,abcd$,"(True, True, False, True, False)"
Password,123!,"(True, True, False, False, True)"
Password,!!!!,"(True, True, False, False, False)"
Password,A1bC,"(True, False, True, True, True)"
Password,AaBc,"(True, False, True, True, False)"
Password,A1B2,"(True, False, True, False, True)"
Password,TEST,"(True, False, True, False, False)"
Password,test1,"(True, False, False, True, True)"
Password,test,"(True, False, False, True, False)"
Password,UNSAT,"(True, False, False, False, True)"
Password,UNSAT,"(True, False, False, False, False)"
Password,UNSAT,"(False, True, True, True, True)"
Password,UNSAT,"(False, True, True, True, False)"
Password,A1!,"(False, True, True, False, True)"
Password,A!,"(False, True, True, False, False)"
Password,UNSAT,"(False, True, False, True, True)"
Password,a#,"(False, True, False, True, False)"
Password,1!,"(False, True, False, False, True)"
Password,!,"(False, True, False, False, False)"
Password,UNSAT,"(False, False, True, True, True)"
Password,Aa,"(False, False, True, True, False)"
Password,A1B,"(False, False, True, False, True)"
Password,A,"(False, False, True, False, False)"
Password,a1,"(False, False, False, True, True)"
Password,a,"(False, False, False, True, False)"
Password,UNSAT,"(False, False, False, False, True)"
Password,UNSAT,"(False, False, False, False, False)"
Url,https://www.example.com,"(True, True, True)"
Url,UNSAT,"(True, True, False)"
Url,https://example.com/path to resource,"(True, False, True)"
Url,UNSAT,"(True, False, False)"
Url,example.com,"(False, True, True)"
Url,example_value,"(False, True, False)"
Url,This is an example.com string.,"(False, False, True)"
Url,hello world,"(False, False, False)"
Date,2023-5-15,"(True, True, True, True)"
Date,2023-5-32,"(True, True, True, False)"
Date,2025-0.5-15,"(True, True, False, True)"
Date,2025-13-32,"(True, True, False, False)"
Date,2026-5-15,"(True, False, True, True)"
Date,-5-8-32,"(True, False, True, False)"
Date,-1-0.5-15,"(True, False, False, True)"
Date,-1-0-32,"(True, False, False, False)"
Date,2023-5-15,"(False, True, True, True)"
Date,2023-5-32,"(False, True, True, False)"
Date,2022-0.5-15,"(False, True, False, True)"
Date,2023-0-32,"(False, True, False, False)"
Date,2026-5-15,"(False, False, True, True)"
Date,2026-5-32,"(False, False, True, False)"
Date,2026-13-15,"(False, False, False, True)"
Date,2026-15-32,"(False, False, False, False)"
IBAN,12100012345678901234,"(True, True, True)"
IBAN,1210123456789012345678,"(True, True, False)"
IBAN,1234005678901234567890,"(True, False, True)"
IBAN,1234567890123456789012,"(True, False, False)"
IBAN,1210001234567890,"(False, True, True)"
IBAN,121001234,"(False, True, False)"
IBAN,12340056789012345678,"(False, False, True)"
IBAN,12345678901234567890,"(False, False, False)"
