constraint0,constraint1,constraint2,constraint3,level,step
"(= (str.count s ""-"") 2)","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (>= s 0) (<= s 2025)))","(let ((s (str.to.int (str.substr s (+ 1 (str.indexof s ""-"")) (str.indexof s ""-"" (+ 1 (str.indexof s ""-""))))))) (and (>= s 1) (<= s 12)))","(let ((s (str.to.int (str.substr s (+ 1 (str.indexof s ""-"" (+ 1 (str.indexof s ""-"")))) (str.len s))))) (and (>= s 1) (<= s 31)))",0,0
,,,,0,1
"(= (str.count s ""-"") 2)","(and (<= s 2025) (>= s 0) (str.contains s (str.++ (str.from_int s) ""-"")))","(and (<= s 12) (>= s 1) (str.contains s (str.++ (str.from_int s) ""-"")))",(and (<= s 31) (>= s 1) (str.contains s (str.from_int s))),0,2
"(= (str.count s ""-"") 2)","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (>= s 0) (<= s 2025)))","(let ((s (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" + 1))))) (and (>= s 1) (<= s 12)))","(let ((s (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" + 1)) (str.len s))))) (and (>= s 1) (<= s 31)))",0,3
,,,,0,4
,,,,0,5
,,,,0,6
,,,,0,7
,,,,0,8
,,,,0,9
,,,,0,10
,,,,0,11
,,,,0,12
,,,,0,13
,,,,0,14
,,,,0,15
,,,,0,16
,,,,0,17
,,,,0,18
,,,,0,19
