Folder name,Constraint,Correct,Processed
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"1. The name shall only contain letters a-z, letters A-Z and space characters.",False,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"2. The name shall contain at least one space character.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"3. The name shall not end with a space character.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"4. The name shall not  start with a space character.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"5. The first character in the name shall be capitalized.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"1. The name shall not contain letters a-z, letters A-Z and spaces.",False,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"2. The name shall contain no space character.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"3. The name shall end with a space character.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"4. The name shall start  with a space character.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"5. The first character in the name shall not be capitalized.",False,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"1. The email shall not contain a space character.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"2. The email shall not start with a @ character.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"3. The email shall have exactly one @ character.",False,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"4. If the email contains a @ character, then the email shall include a dot character (.) after the @ character but before the end.",False,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"5. The final character of the email shall not be a dot character (.).",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"6. The email shall not contain the word “manager”.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"1. The email shall contain a space character.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"2. The email shall start with a @ character.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"3. The email shall have either no @ characters or more than one @ character.",False,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"4. If the email contains a @ character, then the email shall not include any dot characters (.) after the @ character and before the end.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"5. The final character of the email shall be a dot character (.).",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"6. The email shall contain the word “manager”.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"1. The password shall be at least 4 characters long.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"2. The password shall contain one of the following characters: !, #, $.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"3. The password shall contain at least one upper case characters.",False,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"4. The password shall contain at least one lower case characters.",False,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"5. The password shall contain at least one number.",False,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"1. The password shall contain less than 4 characters.",True,True
llm_string/constraint_generator/evaluations/outputs\20250224-001444,"2. The password shall not contain any of the following characters: !, #, $.",True,True
